,Nom,Né le
4474,Jacques Faggianelli,18 novembre 1901
4475,Jean Deltimple,14 novembre 1901
4476,Henri Ledru,14 novembre 1901
4477,René Leduc,12 novembre 1901
4478,Eugène Van Der Meersch,11 novembre 1901
4479,André Mutter,11 novembre 1901
4480,Félix Mayer,29 octobre 1901
4481,Jean Deshors,26 octobre 1901
4482,Hélène de Suzannet Née Durant de Mareuil,20 octobre 1901
4483,Barthélémy Ott,14 octobre 1901
4484,Antoine Colonna,13 octobre 1901
4485,Paul Vignaux,9 octobre 1901
4486,Georges Helluin,28 septembre 1901
4487,Charles Serre,25 septembre 1901
4488,Jean Pupat,23 septembre 1901
4489,Louis Roche-Defrance,20 septembre 1901
4490,André Chareyre,19 septembre 1901
4491,Louis Joxe,16 septembre 1901
4492,Jules Castellani,13 septembre 1901
4493,Paul Saint-Martin,4 septembre 1901
4494,Jules Ramarony,3 septembre 1901
4495,Jean Dardé,2 septembre 1901
4496,Mohamed Baouya,30 août 1901
4497,Pierre Villon-Ginsburger,27 août 1901
4498,"Gabriel, Eugène Citerne",20 août 1901
4499,"Jean, Marie, Eugène, Ferdinand Aubin",15 août 1901
4500,Pierre Dufour,29 juillet 1901
4501,Gabriel Miossec,21 juillet 1901
4502,"Pierre, Albert, Jean, Martial Tricard-Graveron",18 juillet 1901
4503,Armand Cachat,15 juillet 1901
4504,Jean Martineau,15 juillet 1901
4505,Fernand Grenier,9 juillet 1901
4506,André Mercier,7 juillet 1901
4507,"Auguste, Léon, Isaïe Defrance",7 juillet 1901
4508,"André, Emmanuel Beauguitte",6 juillet 1901
4509,"Géraud, Henri Jouve",5 juillet 1901
4510,Marcel David,19 juin 1901
4511,Paul Morane,17 juin 1901
4512,Maurice Finet,13 juin 1901
4513,Alex Roubert,12 juin 1901
4514,Paul Maridet,9 juin 1901
4515,"Andrée, Marie, Mathilde Viénot Née Mayrisch",7 juin 1901
4516,Raymond Réthoré,4 juin 1901
4517,François Peugeot,31 mai 1901
4518,André Plantain,26 mai 1901
4519,Antoine Lacroix,9 mai 1901
4520,Ernest Schaffner,30 avril 1901
4521,Amar Smaïl,22 avril 1901
4522,Aimé Quinson,20 avril 1901
4523,"Maurice, Antonin, Barthélémy Thiolas",17 avril 1901
4524,Henri Joannon,17 avril 1901
4525,René Pleven,15 avril 1901
4526,"Jacques, Antoine Bianchini",13 avril 1901
4527,Emile Hugues,7 avril 1901
4528,"Louis, François Dubosc",6 avril 1901
4529,Albert Dehen,6 avril 1901
4530,Pierre Muller,4 avril 1901
4531,Pierre-Olivier Lapie,2 avril 1901
4532,"Gabriel, Jean Seynat",26 mars 1901
4533,Henri Ulver,24 mars 1901
4534,"Jean, Joseph, Antoine Cristofol",24 mars 1901
4535,Henri-Louis Grimaud,22 mars 1901
4536,Gaston Palewski,20 mars 1901
4537,Germaine Poinso-Chapuis,6 mars 1901
4538,Philippe Serre,4 mars 1901
4539,"Maurice, Robert Delaunay",25 février 1901
4540,Antoine Guitton,7 février 1901
4541,"Marcel, Gaston Noël",6 février 1901
4542,"Adrien, François Mabrut",4 février 1901
4543,"André, Jean, Marie Bonnaire",1er février 1901
4544,"Robert, Georges Bétolaud",1er février 1901
4545,Ambroise Croizat,28 janvier 1901
4546,"Charles, Claude Benoist",28 janvier 1901
4547,"Jean, Constant Charlot",26 janvier 1901
4548,Henri Colonna,25 janvier 1901
4549,Léon Jean,25 janvier 1901
4550,Charles Lamarque-Cando,12 janvier 1901
4551,"André, Paul Bardon",10 janvier 1901
4552,Marceau Laurent,9 janvier 1901
4553,"Gaston, Hippolyte Coquel",4 janvier 1901
4554,"Guy, Albert, Marie de Montgolfier",1er janvier 1901
4555,"René, Roger, Simon Tamarelle",31 décembre 1900
4556,"Lucien, Louis, Antoine Coffin",29 décembre 1900
4557,René Icher,14 décembre 1900
4558,"Dominique, Antoine Laurelli",2 décembre 1900
4559,Léo Lagrange,28 novembre 1900
4560,André Puech dit Parsal,26 novembre 1900
4561,Julien Brunhes,25 novembre 1900
4562,Madeleine Léo-Lagrange Née Weiller,23 novembre 1900
4563,Augustin Bordage,23 novembre 1900
4564,Joseph Pinvidic,15 novembre 1900
4565,"Antoine, Martin Sérafini",10 novembre 1900
4566,Jean Sourbet,1er novembre 1900
4567,"Hilaire, Albert, Alphonse Perdon",30 octobre 1900
4568,Maurice Poirot,17 octobre 1900
4569,André Morice,11 octobre 1900
4570,Georges Fouilland,4 octobre 1900
4571,Emile Janvier,29 septembre 1900
4572,"Georges, Alphonse, Henri Blachette",27 septembre 1900
4573,Gustave Saussot,23 septembre 1900
4574,Edmond Ginestet,7 septembre 1900
4575,Victor Plantevin,7 septembre 1900
4576,François Martin,6 septembre 1900
4577,Robert Pouille,5 septembre 1900
4578,Henri Jouffroy,31 août 1900
4579,Lucie Guérin,11 août 1900
4580,Raymond Patenôtre,31 juillet 1900
4581,"Robert, Carlos, Achille Nisse",28 juillet 1900
4582,Madeleine Laissac,28 juillet 1900
4583,Pierre Guérard,12 juillet 1900
4584,Marcel Paul,12 juillet 1900
4585,"André, Jean Godin",11 juillet 1900
4586,Maria Rabaté,3 juillet 1900
4587,Jean-Marie Louvel,1er juillet 1900
4588,"Augustin, Jean, Alexis, Félix Chauvet",28 juin 1900
4589,Georges Potut,25 juin 1900
4590,"Bernard, Gabriel, Jean, Marie de Coral",23 juin 1900
4591,Marcel Stürmel,17 juin 1900
4592,"Maurice, Aimé, Louis, Joseph Montel",10 juin 1900
4593,Albert Schmitt,31 mai 1900
4594,"Julien, Jérôme Airoldi",27 mai 1900
4595,Robert Lattes,23 mai 1900
4596,"Gilbert, Jean, Frédéric Berger",22 mai 1900
4597,"Paul, Théodule, Florimond Caron",17 mai 1900
4598,"Jean, Dominique Biondi",9 mai 1900
4599,Maurice Thorez,28 avril 1900
4600,Roger Raulet,28 avril 1900
4601,"Roger, Emile Benenson",13 avril 1900
4602,Augustin Malroux,5 avril 1900
4603,Jean-Raymond Guyon,2 avril 1900
4604,Louis Perillier,1er avril 1900
4605,René Ithurbide,30 mars 1900
4606,Marcel Ribère,16 mars 1900
4607,Jean-Yves Chapalain,10 mars 1900
4608,Solange Lamblin,8 mars 1900
4609,Max Hymans,2 mars 1900
4610,Maximilien Zigliara,27 février 1900
4611,"Edouard, Denis, Marie, Joseph Alliot",26 février 1900
4612,Henri Gallet,23 février 1900
4613,"Alexandre, Sylvain, Justin Baurens",20 février 1900
4614,Henri Terré,16 février 1900
4615,Jean Milcent,8 février 1900
4616,Guy Chavanne,4 février 1900
4617,Raoul Tracol,29 janvier 1900
4618,Georges Morand,28 janvier 1900
4619,Fernand Legagneux,27 janvier 1900
4620,Albert Rigal,18 janvier 1900
4621,"Edmond, Marcel Barrachin",12 janvier 1900
4622,Florimond Girard,9 janvier 1900
4623,Jean Pourtier,8 janvier 1900
4624,François de Menthon,8 janvier 1900
4625,"Emmanuel, Raoul, Maurice d'Astier de la Vigerie",6 janvier 1900
4626,André Halbout,4 janvier 1900
4627,Fily-Dabo Sissoko,1er janvier 1900
4628,Paul Béchard,25 décembre 1899
4629,Henri Pourtalet,23 décembre 1899
4630,Gustave Decréquy,21 décembre 1899
4631,Pierre Forest,18 décembre 1899
4632,"Gilbert, Henri, Albert Martin",11 décembre 1899
4633,Henri Seignon,9 décembre 1899
4634,René Rousselot,5 décembre 1899
4635,Jean Sauder,4 décembre 1899
4636,Raymond Bousquet,22 novembre 1899
4637,"Georges, Augustin Bidault",5 novembre 1899
4638,Henri Robichon,4 novembre 1899
4639,Jean Crouzier,2 novembre 1899
4640,Germain Rincent,30 octobre 1899
4641,Paul Thellier,29 octobre 1899
4642,"Etienne, André Fauvel",17 octobre 1899
4643,Alexis Méhaignerie,11 octobre 1899
4644,Edmond Michelet,8 octobre 1899
4645,"Georges, Gustave, Rémi Lemarchand",1er octobre 1899
4646,Raymond Valabrègue,25 septembre 1899
4647,Hervé Nader,17 septembre 1899
4648,François Clamens,16 septembre 1899
4649,Maurice Georges,15 septembre 1899
4650,Pierre Ségelle,11 septembre 1899
4651,Joseph Rey,10 septembre 1899
4652,Paul Godonneche,5 septembre 1899
4653,Hubert Ruffe,29 août 1899
4654,Ferhat Abbas,24 août 1899
4655,Louis Maillot,21 août 1899
4656,"Raymond, Paul, Victor Boisdé",15 août 1899
4657,André Paillieux,13 août 1899
4658,"Léon, Jean Martinaud-Déplat",9 août 1899
4659,Georges Heuillard,5 août 1899
4660,"Roger, Aurélien Deniau",29 juillet 1899
4661,Abel Poulain,26 juillet 1899
4662,Louis Douineau,25 juillet 1899
4663,Ali Cadi,23 juillet 1899
4664,Jean-Charles Privet,22 juillet 1899
4665,Louis Prache,14 juillet 1899
4666,"Albert, Marcel Lucchini",10 juillet 1899
4667,"René, Bernard, Pierre Delzangles",3 juillet 1899
4668,Raymond Tézier,3 juillet 1899
4669,André Pigeot,27 juin 1899
4670,"Joseph, Léon, Samuel, dit Louis Aurin",19 juin 1899
4671,"Alcide, Alfred Benoit",15 juin 1899
4672,Marcel Guislain,14 juin 1899
4673,"Antonin, Jean, André Tirefort",14 juin 1899
4674,"Jean, Baptiste Bartolini",10 mai 1899
4675,"Claudius, Eugène Bachelet",6 mai 1899
4676,Abdesselam Benkhelil,4 mai 1899
4677,"Xavier, Pierre, Benjamin Bouvier",25 avril 1899
4678,"Marcel, Xavier Massot",7 avril 1899
4679,Yves Henry,31 mars 1899
4680,"Raoul, Joseph, Emile Calas",25 mars 1899
4681,Joseph Chatagner,20 mars 1899
4682,Jean Saint-Cyr,7 mars 1899
4683,Emmanuel Fouyet,2 mars 1899
4684,"Eugène, Jean Montagnier",1er mars 1899
4685,Jacques Furaud,26 février 1899
4686,Gaston Girard,20 février 1899
4687,Louis Brunet,12 février 1899
4688,"Francis, Joseph, Hippolyte Samson",12 février 1899
4689,Maurice Fredet,9 février 1899
4690,Jules Delemotte,9 février 1899
4691,"Roger, Pierre, Alexandre Cerclier",5 février 1899
4692,"Jules, Abdon Fil",2 février 1899
4693,"Jules, Eugène, Edouard Catoire",31 janvier 1899
4694,Louis l'Hévéder,24 janvier 1899
4695,René Jadfard,24 janvier 1899
4696,"Louis, Félix Martel",20 janvier 1899
4697,Gabriel Tellier,13 janvier 1899
4698,Mostefa Benbahmed,12 janvier 1899
4699,Louis Labrousse,10 janvier 1899
4700,Jean Léonetti,2 janvier 1899
4701,Berrezoug Saïdi,1er janvier 1899
4702,Marie Oyon,31 décembre 1898
4703,Louis Nachon,31 décembre 1898
4704,"Fernand, Pierre Chevalier",8 décembre 1898
4705,Xavier Trellu,5 décembre 1898
4706,"Irène, Aurélie, Juliette de Lipkowski",3 décembre 1898
4707,Ernest Rouxel,21 novembre 1898
4708,"René, Pierre, William Thorp",18 novembre 1898
4709,Raoul Girard,16 novembre 1898
4710,Félix Grat,12 novembre 1898
4711,Adrien Rophé,9 novembre 1898
4712,Charles Saint-Venant,7 novembre 1898
4713,Albert Lécrivain-Servoz,7 novembre 1898
4714,"Edouard, Gustave, Hector Depreux",31 octobre 1898
4715,Marcel Prélot,30 octobre 1898
4716,Franck Arnal,30 octobre 1898
4717,"Jean, Baptiste, Georges Bouhey",23 octobre 1898
4718,Pierre Koenig,10 octobre 1898
4719,Geoffroy de Montalembert,10 octobre 1898
4720,Gaston Perrot,28 septembre 1898
4721,Jacques Doriot,26 septembre 1898
4722,"Irène Laure, Née Guelpa Cichetto",18 septembre 1898
4723,"Maurice, Marie, Joseph Delom-Sorbé",17 septembre 1898
4724,Louis Jacquinot,16 septembre 1898
4725,Eugène Rigal,12 septembre 1898
4726,Oswen de Kéroüartz,11 septembre 1898
4727,Samuel de Lestapis,27 août 1898
4728,Paul Winter,25 août 1898
4729,"Aimery, Louis, Jules Blacque-Belair",21 août 1898
4730,"René, Théodore Peeters",18 août 1898
4731,Georges Monnet,12 août 1898
4732,Henri Barré,9 août 1898
4733,"Jean, Elie, Joseph Baylac",9 août 1898
4734,Albert Le Bail,4 août 1898
4735,Henri Martel,3 août 1898
4736,Jean-Paul Palewski,19 juillet 1898
4737,"René, Jean, Paul Cassagne",16 juillet 1898
4738,Alexis Le Strat,14 juillet 1898
4739,Robert Lacoste,5 juillet 1898
4740,Maxime Roustan,1er juillet 1898
4741,Kheladi Ben Miloud,1er juillet 1898
4742,René Gounin,18 juin 1898
4743,Philippe Livry-Level,16 juin 1898
4744,Médard Albrand,8 juin 1898
4745,Jean Labrosse,6 juin 1898
4746,"Philibert, Hippolyte, Marcelin Besson",6 juin 1898
4747,Guy La Chambre,5 juin 1898
4748,Just Évrard,31 mai 1898
4749,Jules Houcke,20 mai 1898
4750,Antoine Cornut,20 mai 1898
4751,Paul Verneyras,19 mai 1898
4752,Gabriel Bourgund,17 mai 1898
4753,"Henri, Rodolphe Lozeray",17 mai 1898
4754,Mohamed Ihaddaden,16 mai 1898
4755,Jacques Grésa,16 mai 1898
4756,"Eugène, Alphonse Alliot",12 mai 1898
4757,André Pradeau,9 mai 1898
4758,Raymond Lachal,4 mai 1898
4759,Henri Mazo,20 avril 1898
4760,Philippe Danilo,12 avril 1898
4761,"Gaston, Marie, Léon Thiébaut",11 avril 1898
4762,"Jean, Noël Lefranc",21 mars 1898
4763,Jean Gapiand,21 mars 1898
4764,Raoul Sauer,19 mars 1898
4765,Jean Jullien,17 mars 1898
4766,Robert de La Myre-Mory,4 mars 1898
4767,Madeleine Martinache,4 mars 1898
4768,James Sclafer,3 mars 1898
4769,"Marcel, Henri Bugain",22 février 1898
4770,Abdallah Tebib,22 février 1898
4771,Georges Pirot,17 février 1898
4772,Philippe Le Maux,9 février 1898
4773,Marcel Coquillaud,29 janvier 1898
4774,Yves Le Cozannet,28 janvier 1898
4775,Edouard Corniglion-Molinier,23 janvier 1898
4776,Emile Bèche,20 janvier 1898
4777,Pierre Desgranges,19 janvier 1898
4778,Pascal Velonjara,16 janvier 1898
4779,Henri Ribière,27 décembre 1897
4780,Cyprien Quinet,22 décembre 1897
4781,Charles Barangé,21 décembre 1897
4782,Gabriel de Carville,16 décembre 1897
4783,"Louis, Georges Deschizeaux",15 décembre 1897
4784,Etienne Toublanc,8 décembre 1897
4785,Alexandre Douala Manga Bell,3 décembre 1897
4786,André Marie,3 décembre 1897
4787,Bachir Ben Mohamed Abddelouahab,2 décembre 1897
4788,Germain Guibert,26 novembre 1897
4789,Edouard Lebas,18 novembre 1897
4790,René Fayssat,14 novembre 1897
4791,"Gaston, Eugène, François, Paul Pébellier",3 novembre 1897
4792,Yacine Diallo,18 octobre 1897
4793,Arthur Ramette,12 octobre 1897
4794,Pierre Lareppe,10 octobre 1897
4795,Maurice Cassez,7 octobre 1897
4796,Marcel Levindrey,28 septembre 1897
4797,Pierre Courant,12 septembre 1897
4798,Pierre de Sainte-Marie,8 septembre 1897
4799,Jean Mistler,1er septembre 1897
4800,Marcel Roclore,25 août 1897
4801,Charles Dutheil,22 août 1897
4802,"Henri, Jules Bergeret",21 août 1897
4803,Charles Guthmüller,20 août 1897
4804,Jean-Pierre Mourer,19 août 1897
4805,Charles Pomaret,16 août 1897
4806,"André, Joseph, Alexandre, François Burlot",6 août 1897
4807,Pierre Viénot,5 août 1897
4808,Henri Meck,31 juillet 1897
4809,Jacques Vendroux,28 juillet 1897
4810,Henri Gérente,25 juillet 1897
4811,"Elie, Pierre Calmon",14 juillet 1897
4812,"Charles, Joseph Tillon",3 juillet 1897
4813,René Lecocq,27 juin 1897
4814,Maurice Thiéfaine,19 juin 1897
4815,"André, Jules, François Barthélémy",16 juin 1897
4816,"Georges, Eugène, Germain Barthélemy",15 juin 1897
4817,Roger Morève,7 juin 1897
4818,Marie-Joseph Pernock,4 juin 1897
4819,Pierre Gillet,24 mai 1897
4820,Jean Vuillaume,21 mai 1897
4821,Maurice Aguillon,17 mai 1897
4822,Henri Provost de la Fardinière,12 mai 1897
4823,Marcel Falala,24 avril 1897
4824,Emmanuel Clairefond,20 avril 1897
4825,Charles Magne,3 avril 1897
4826,Omar Boukli-Hacène,3 avril 1897
4827,"André, Jules, Louis Breton",3 avril 1897
4828,Dominique Renucci,31 mars 1897
4829,Cerf Lurie,31 mars 1897
4830,Jean Baylot,27 mars 1897
4831,Raymond Poutier,27 mars 1897
4832,Alexandre Camino,27 mars 1897
4833,Pierre de Gaulle,22 mars 1897
4834,François Pinçon,21 mars 1897
4835,"Albert, Théodore Petit",13 mars 1897
4836,Roger Bertholleau,9 mars 1897
4837,Charles Chopin,25 février 1897
4838,Edmond Pezé,18 février 1897
4839,"Henri, Auguste d'Halluin dit Dorgères",6 février 1897
4840,Denis Padovani,3 février 1897
4841,Smaïl Lakhdari,1er février 1897
4842,Paul Harter,23 janvier 1897
4843,"René, Albert Arbeltier",23 janvier 1897
4844,Lucien Raux,18 janvier 1897
4845,Prosper Môquet,6 janvier 1897
4846,Gaston Monnerville,2 janvier 1897
4847,Mamadou Konaté,1er janvier 1897
4848,Raymond Vidal,27 décembre 1896
4849,"Jules, Antoine, Cyr, Joseph Appourchaux",22 décembre 1896
4850,Félix Brun,18 décembre 1896
4851,Pierre Montel,13 décembre 1896
4852,"Pierre, Henry, Rodolphe de Felice",13 décembre 1896
4853,Edme Canat,11 décembre 1896
4854,Jean-Marie Bouvier O'Cottereau,7 décembre 1896
4855,Georges Galy-Gasparrou,7 décembre 1896
4856,"Louis, Marie Monfort",5 décembre 1896
4857,Abdelkader Mahdad,21 novembre 1896
4858,Charles Schauffler,16 novembre 1896
4859,Louis Delaporte,27 octobre 1896
4860,"Maurice, Auguste Lucas",9 octobre 1896
4861,Jacques Duclos,2 octobre 1896
4862,Henri Duterne,27 septembre 1896
4863,Marcel Thibaud,22 septembre 1896
4864,Georges Litalien,21 septembre 1896
4865,"Pierre, Albert, Eugène Pitois",12 septembre 1896
4866,Marc de Molènes,5 septembre 1896
4867,Auguste Rencurel,4 septembre 1896
4868,"Guérin, Jean, Michel du Boscq de Beaumont",29 août 1896
4869,Gilbert Declercq,15 août 1896
4870,"Raoul, Jean, Vincent Borra",14 août 1896
4871,Marcel Darou,3 août 1896
4872,Léon Silvestre,21 juillet 1896
4873,Fernand Valat,19 juillet 1896
4874,"Adolphe, Jules, Félix, Louis Vincent",12 juillet 1896
4875,Emile Seitz,11 juillet 1896
4876,Augustin Laurent,9 juillet 1896
4877,Philippe Barrès,8 juillet 1896
4878,"André, Maurice Diethelm",3 juillet 1896
4879,"Mohammed, Madani Ben Kritly",1er juillet 1896
4880,Lucien de Gracia,25 juin 1896
4881,Lucien Draveny,19 juin 1896
4882,Alain Le Marc'Hadour,17 juin 1896
4883,"Fernand, René, Léon, Just Claudet",10 juin 1896
4884,"Henry, Hubert Ponsard",8 juin 1896
4885,Joannès Ruf,30 mai 1896
4886,Stanislas Devaud,15 mai 1896
4887,Mohamed Boumali,10 mai 1896
4888,"Elie, Clainville Bloncourt",5 mai 1896
4889,Robert Millin de Grandmaison,5 mai 1896
4890,Ernest Voyer,1er mai 1896
4891,Albert Mora,4 avril 1896
4892,Robert (Maurice dit ) Lazurick,3 avril 1896
4893,Paul Deudon,3 avril 1896
4894,Jean-Michel Tournaire dit Renaitour,31 mars 1896
4895,Alexis Thomas,29 mars 1896
4896,"Marcel, Albert Capron",24 mars 1896
4897,François de Saint-Just,19 mars 1896
4898,Paul Giacobbi,18 mars 1896
4899,François Fourcault de Pavant,11 mars 1896
4900,André Parmentier,11 mars 1896
4901,"André, François, Marie, Joseph Liautey",9 mars 1896
4902,"Rachel, Odile Lempereur Née Nuez",14 février 1896
4903,Edouard Fuchs,11 février 1896
4904,Jean Silvandre,27 janvier 1896
4905,René Hauss,25 janvier 1896
4906,Gérard Ouradou,20 janvier 1896
4907,Henri Savale,20 janvier 1896
4908,"Julien, Santiago Tardieu",16 janvier 1896
4909,Hector Legry,16 janvier 1896
4910,Emile Béron,1er janvier 1896
4911,Narcisse Pavot,28 décembre 1895
4912,"Michel, Louis Brille",26 décembre 1895
4913,Allaoua Ben Aly Chérif,24 décembre 1895
4914,"Louis, Alexandre, Joseph, Antoine Delbez",18 décembre 1895
4915,Maurice Delory,1er décembre 1895
4916,Maurice Petsche,1er décembre 1895
4917,"Pierre, Jules Cot",20 novembre 1895
4918,Lucien Harmant,19 novembre 1895
4919,"Raymond, Henri Baranton",10 novembre 1895
4920,Ahmed Saadane,4 novembre 1895
4921,Aimé Larguier,22 septembre 1895
4922,"Emmanuel, Jacques, Marie Temple",21 septembre 1895
4923,Raoul Bleuse,9 septembre 1895
4924,"Marcel, Julien, Ursin, René Cartier",24 août 1895
4925,"Paul, Jacques, Marius Rives",19 août 1895
4926,Roger Noiret,10 août 1895
4927,Antoine Demusois,4 août 1895
4928,"Paul, Gualbert, Maurice Pelleray",12 juillet 1895
4929,Francis Dassaud,11 juillet 1895
4930,"Léon, Pierre, Laubanie Roche",29 juin 1895
4931,Eugène Jardon,27 juin 1895
4932,"Auguste, Simon Allonneau",24 juin 1895
4933,Paul Creyssel,15 juin 1895
4934,"Bernard, Julien, Marie d'Aillières",9 juin 1895
4935,Raymond Susset,5 juin 1895
4936,Maurice Lemaire,25 mai 1895
4937,"Alexandre, Michel Prachay",17 mai 1895
4938,"Tetuaapua, Pouvanaa Oopa",10 mai 1895
4939,Fernand Maillocheau,7 mai 1895
4940,Alfred Daul,6 mai 1895
4941,René Mayer,4 mai 1895
4942,"René, Louis Cance",29 avril 1895
4943,Hachemi Benchennouf,15 avril 1895
4944,"Henry, Francisque, Bernard, Joseph Andraud",9 avril 1895
4945,Lucien Carbon,31 mars 1895
4946,Louis Gautier-Chaumet,21 mars 1895
4947,"Armand, Pierre, Emile Chouffet",4 mars 1895
4948,"Louis, Félix, Marie, Joseph Bouté",25 février 1895
4949,"Pierre, Alexandre, Just Monnerville",24 février 1895
4950,"Jean, Marie, François, Dominique Duclos",15 février 1895
4951,Léon Vaur,3 février 1895
4952,Pierre Lamazou-Betbeder,29 janvier 1895
4953,"Alfred, Jean-Baptiste Basquin",27 janvier 1895
4954,Georges Turines,26 janvier 1895
4955,Jean-Marie Thomas,22 janvier 1895
4956,Mathilde Méty Née Toinard,21 janvier 1895
4957,Camille Larribère,3 janvier 1895
4958,Ernest Sourioux,1er janvier 1895
4959,Augustin Azémia,27 décembre 1894
4960,Jean Niel,26 décembre 1894
4961,Deiva Zivarattinam,3 décembre 1894
4962,Fernand Angibault,20 novembre 1894
4963,Marc Gerber,19 novembre 1894
4964,André Boileau,30 octobre 1894
4965,"Jean-Charles, Eugène,Jules Deguise",26 octobre 1894
4966,Jean Worms dit Germinal,10 octobre 1894
4967,"Henry, Alexandre, Emmanuel, Marie Bergasse",26 septembre 1894
4968,Antoine Dubon,11 septembre 1894
4969,"Paul, Marie, Maurice Boulet",8 septembre 1894
4970,Joseph Dixmier,4 septembre 1894
4971,"René, Gaston Naegelen",27 août 1894
4972,Pierre Vidal,26 août 1894
4973,Edouard Goubert,29 juillet 1894
4974,"Gabriel, Henri Cudenet",23 juillet 1894
4975,Nestor Calonne,22 juillet 1894
4976,"Marceau, Louis, Eugène Dupuy",13 juillet 1894
4977,"Raphaël, Jean-Baptiste, Benjamin Babet",27 juin 1894
4978,"Gaston, Louis, Paul Cornavin",27 juin 1894
4979,Jean Fraissinet,22 juin 1894
4980,El Hadi Mostefaï,18 juin 1894
4981,Jean Novat,14 juin 1894
4982,"Céline, Victorine dite Germaine Degrond",3 juin 1894
4983,"Albert, François Boccagny",28 mai 1894
4984,"André, Adolphe, François Dupont",24 mai 1894
4985,Olivier de Sesmaisons,21 mai 1894
4986,Pierre Truffaut,14 mai 1894
4987,Youcef Kessous,11 mai 1894
4988,"Jean, Joseph Catelas",6 mai 1894
4989,Jules Valle,25 avril 1894
4990,"Georges, Augustin Loustaunau-Lacau",17 avril 1894
4991,Fernand Roucayrol,7 avril 1894
4992,"Auguste, Joseph, Vincent Muret",5 avril 1894
4993,"René, Edmond, Bernard Bernard-Cothier",3 avril 1894
4994,Raymond Lefevre,2 avril 1894
4995,René Fonck,27 mars 1894
4996,Marius Maffray,22 mars 1894
4997,"Yves, Marie Colin",10 mars 1894
4998,Marcel Déat,7 mars 1894
4999,Jean Wagner,6 mars 1894
5000,Léon Salagnac,6 mars 1894
5001,Maxime Fauchon,4 mars 1894
5002,René Richard,3 mars 1894
5003,Georges Tessier,3 mars 1894
5004,Marcel Gatuing,3 mars 1894
5005,"Olivier, François Caliot",21 février 1894
5006,"André, Léon, Aimé Cavelier",19 février 1894
5007,Pierre Fully,4 février 1894
5008,Edmond Duchesne,23 décembre 1893
5009,Christian Vieljeux,16 décembre 1893
5010,"Mohamed, Salah Bendjelloul",8 décembre 1893
5011,"Joanny, Marius, dit Jean Coponat",22 novembre 1893
5012,Joseph Parayre,9 novembre 1893
5013,Joseph Ravoahangy-Andrianavalona,28 octobre 1893
5014,"Jean-Baptiste, Marie Bernex",26 octobre 1893
5015,Georges Beaugrand,24 octobre 1893
5016,Emile Cossonneau,22 octobre 1893
5017,Charles Spinasse,22 octobre 1893
5018,Antoine Ravel,18 octobre 1893
5019,Georges Scapini,4 octobre 1893
5020,Eugène Frot,2 octobre 1893
5021,Denis Cordonnier,30 septembre 1893
5022,Maurice Bazin,28 septembre 1893
5023,Auguste Farinez,14 septembre 1893
5024,"Léon, Marie, Joseph Thébault",12 septembre 1893
5025,Louis de Diesbach,31 août 1893
5026,Jean Salliard du Rivault,29 août 1893
5027,Maurice Lacroix,28 août 1893
5028,Léon Dagain,15 août 1893
5029,Maurice Guichard,12 août 1893
5030,Roger Sarret,1er août 1893
5031,"Marc, Emile Rucart",24 juillet 1893
5032,René Dubois,12 juillet 1893
5033,Richard Georges,9 juillet 1893
5034,Pierre Lohéac,6 juillet 1893
5035,Jean Laurenti,3 juillet 1893
5036,"François, Marie, Valentin Blancho",28 juin 1893
5037,"Félix, Pierre, Théodore Aulois",18 juin 1893
5038,Maurice Pouvrasseau,16 juin 1893
5039,Henri Bourlois,9 juin 1893
5040,Charles Thonon,31 mai 1893
5041,"Alfred, Marie, Joseph Heurtaux",20 mai 1893
5042,Raymond Bonnefous,8 mai 1893
5043,François Camel,3 mai 1893
5044,"André, Gervais, Paul, Albert Mellenne",29 avril 1893
5045,Pierre Périvier,29 avril 1893
5046,Alphonse Barbot,27 avril 1893
5047,Félix Braise,9 avril 1893
5048,Joseph Guyomard,8 avril 1893
5049,Gaston Dassonville,16 mars 1893
5050,Jules Moch,15 mars 1893
5051,Toussaint Franchi,2 mars 1893
5052,Louis Siefridt,27 février 1893
5053,André Maroselli,22 février 1893
5054,Charles Surmont,19 février 1893
5055,Pierre Parent,5 février 1893
5056,"Eugène, Henri, Désiré Delahoutre",4 février 1893
5057,"Adrien, Pierre Tixier",31 janvier 1893
5058,Marcel Prenant,25 janvier 1893
5059,Jean Hay,21 janvier 1893
5060,Valentin Vignard,19 janvier 1893
5061,"Pierre, Marie Mazé",9 janvier 1893
5062,"Camille, Fernand Bedin",8 janvier 1893
5063,Jean-Philippe Bapst,28 décembre 1892
5064,"Emmerand, Prosper, Marie, Joseph Bardoul",27 décembre 1892
5065,"Jean, Joseph, Marie Barbier",23 décembre 1892
5066,Armand Pillot,20 décembre 1892
5067,"Albert, Jules, Marie Aubry",8 décembre 1892
5068,Gaston Bergery,22 novembre 1892
5069,"Paul, Léon, Rollin Cabanis",9 novembre 1892
5070,Georges Kuntz,4 novembre 1892
5071,Jean Goy,16 octobre 1892
5072,Philippe d'Argenlieu,25 septembre 1892
5073,Marie-Louise Weber,1er septembre 1892
5074,Joseph Rossé,26 août 1892
5075,"Auguste, Marcel, Georges Touchard",17 juillet 1892
5076,Joanny Berlioz dit Berlioz-Benier,7 juillet 1892
5077,André Cornu,27 juin 1892
5078,"Jean-Jacques, Henri, André Dumoret",24 juin 1892
